case_name YYYYMMDDHHMM   theta_math      speed                   Domain
 case0106 200508040658   273.20001       27.700001               2
 case0107 200508040849   242.10001       22.500000               1
 case0123 200508311534   174.89999       33.900002               1
 case0129 200510011349   208.89999       28.400000               2
 case0210 200710052350   214.60001       11.500000               2
 case0219 200710060536   198.10001       16.700001               1
 case0222 200710060721   162.50000       13.100000               1
 case0230 200807290109   56.000000       19.600000               5
 case0231 200808211446   103.40000       18.600000               5
 case0240 200809130817   224.30000       24.400000               1
 case0243 200809131251   224.30000       23.200001               1
 case0250 200809271721   254.20000       29.600000               4
 case0251 200809271927   203.70000       24.100000               2
 case0254 200809280021   315.89999       16.500000               4
 case0257 200809280251   189.80000       28.000000               1
 case0264 200906201331   98.900002       23.299999               5
 case0266 200907171031   170.30000       23.000000               4
 case0267 200908061801   311.60001       21.500000               5
 case0270 201010212054   125.70000       24.400000               5
 case0271 201010220131   120.80000       30.900000               5
 case0276 201108292354   16.400000       21.900000               5
 case0278 201108301416   13.500000       18.400000               5
 case0279 201206200854   10.600000       18.799999               6
 case0283 201308211908   24.000000       15.600000               6
 case0284 201309211930   148.39999       33.900002               6
 case0287 201407222154   348.60001       16.900000               5
 case0289 201407220613   171.80000       19.500000               2
 case0290 201507071357   142.80000       21.600000               5
 case0291 201507071812   134.00000       21.600000               5
 case0292 201507080557   110.90000       24.400000               5
 case0293 201507080904   137.70000       25.200001               6
 case0296 201508081742   36.500000       20.600000               5
 case0297 201508081904   36.200001       20.000000               5
 case0302 200407010506   133.39999       14.100000               3
 case0304 200408231034   251.50000       25.799999               2
 case0307 200508040926   210.10001       10.000000               2
 case0308 200508041416   294.39999       26.200001               2
 case0309 200508302055   239.60001       23.000000               2
 case0314 200508311145   203.70000       13.800000               2
 case0317 200508311625   144.20000       36.500000               2
 case0318 200509220300   151.10001       16.700001               3
 case0323 200708170230   204.80000       20.200001               3
 case0324 200708170300   203.89999       19.900000               3
 case0325 200708170600   198.39999       21.500000               3
 case0326 200708171600   154.10001       16.500000               3
 case0328 200710051950   197.20000       16.400000               3
 case0329 200710052340   351.00000       4.0000000               3
 case0332 201009091048   120.10000       19.400000               7
 case0333 201009091652   83.800003       24.600000               7
 case0334 201208010236   211.00000       23.799999               2
 case0338 201208030218   44.200001       11.500000               8
 case0339 201307130913   40.500000       21.200001               7
 case0340 201308211002   276.39999       16.100000               7
 case0341 201407231118   48.299999       18.900000               8
 case0342 201407231449   54.299999       23.600000               7
 case0042 200309010832   218.50000       35.700001               4
 case0061 200408230943   259.29999       26.299999               2
 case0082 200410242204   164.20000       25.200001               2
 case0084 200410250217   170.30000       24.500000               1
 case0089 200507170649   209.50000       23.700001               1
 case0343 201407230756   40.000000       17.900000               7
 case0344 201407230846   50.799999       20.500000               8
 case0346 201407230936   41.599998       19.900000               7
 case0347 201407231124   35.099998       18.299999               7
 case0348 200510011819   175.10001       11.300000               2
 case0349 200510012051   174.60001       29.000000               1
 case0350 200510012235   163.39999       26.600000               1
 case0351 200507170018   221.80000       21.100000               2
 case0352 200507170158   214.50000       19.900000               2
